Linguaggio,Esperienza,Istruzione,Responsabile,RAL
Python,2,Diploma,0,24000
C#,7,Laurea Magistrale,1,29372
Python,3,Diploma,0,25847
SQL,1,Diploma,0,22742
R,8,Dottorato,1,32384
Python,8,Dottorato,1,31284
Javascript,1,Dottorato,0,22753
Java,5,Laurea Triennale,0,29362
Objective-C/Swift,2,Dottorato,0,23642
COBOL,8,Laurea Triennale,0,34736
R,1,Laurea Triennale,0,23736
C#,6,Diploma,0,29746
C#,4,Laurea Triennale,0,27364
Python,5,Laurea Magistrale,0,30372
Javascript,2,Dottorato,0,24753
Java,4,Laurea Magistrale,0,27736
Java,3,Laurea Magistrale,0,26162
C#,7,Laurea Triennale,1,29362
R,5,Dottorato,1,26732
COBOL,6,Laurea Magistrale,0,31374
SQL,4,Dottorato,0,28372
SQL,1,Laurea Triennale,0,23743
Javascript,1,Laurea Triennale,0,22372
Python,4,Laurea Magistrale,0,28382
Javascript,4,Diploma,0,26753
Javascript,2,Diploma,0,23742
COBOL,6,Diploma,0,30372
SQL,3,Laurea Triennale,0,26428
Python,6,Dottorato,0,31283
Python,2,Dottorato,0,25362
Java,3,Diploma,0,25372
Javascript,7,Laurea Triennale,1,29362
Javascript,1,Diploma,0,22839
Objective-C/Swift,6,Laurea Triennale,1,28473
R,3,Diploma,0,25463
COBOL,3,Diploma,0,25372
Javascript,2,Dottorato,0,24362
Java,8,Dottorato,1,31372
C#,1,Laurea Triennale,0,22954
C#,3,Diploma,0,24473
Python,2,Diploma,0,24954
Objective-C/Swift,5,Laurea Triennale,0,29753
Javascript,7,Laurea Triennale,1,29463
R,8,Diploma,0,34372
Python,7,Laurea Triennale,0,33372
SQL,2,Diploma,0,23375
SQL,1,Diploma,0,22473
Objective-C/Swift,5,Laurea Magistrale,0,29463
Javascript,1,Diploma,0,21374
COBOL,8,Laurea Triennale,0,34472
Java,6,Laurea Triennale,0,31473
R,5,Dottorato,0,29374
SQL,8,Laurea Magistrale,0,34384
Python,4,Laurea Magistrale,0,27364
Objective-C/Swift,1,Laurea Triennale,0,23472
COBOL,2,Laurea Triennale,0,24859
COBOL,4,Laurea Triennale,0,28473
COBOL,3,Dottorato,0,25834
Python,7,Laurea Magistrale,0,33287
R,7,Laurea Magistrale,0,33374
SQL,3,Diploma,0,25758
R,5,Laurea Triennale,0,30374
Java,6,Laurea Triennale,0,31463
Javascript,2,Laurea Triennale,0,23958
SQL,6,Laurea Triennale,1,28857
Python,7,Dottorato,1,30362
COBOL,7,Dottorato,0,32374
R,1,Laurea Magistrale,0,23473
Java,8,Diploma,1,30637
