importo,livello,durata,tipologia,saldo,eta,estinto
1000,B,2,Elettrodomestici,375.92,24,0
6500,A,2,Autovettura,1530.26,28,1
2400,A,2,Elettrodomestici,1382.27,36,0
10000,C,3,Elettrodomestici,1431.6,24,0
4000,C,2,Elettrodomestici,395.65,28,1
5000,A,2,Elettrodomestici,198.32,27,1
6000,C,1,Elettrodomestici,1086.28,23,1
5000,D,2,Elettrodomestici,888.96,21,0
4200,A,6,Elettrodomestici,1382.27,29,0
12000,A,4,Autovettura,1998.91,22,0
3600,A,3,Elettrodomestici,1628.93,27,1
6000,B,1,Elettrodomestici,1678.26,25,0
4000,A,2,Elettrodomestici,1234.28,27,1
13000,C,2,Autovettura,1505.6,22,0
1500,A,3,Elettrodomestici,1012.29,24,1
4800,D,2,Elettrodomestici,1752.25,24,1
1200,C,0,Elettrodomestici,20.73,22,1
7000,A,0,Elettrodomestici,1771.99,23,0
12000,C,3,Autovettura,888.96,23,1
10000,D,2,Elettrodomestici,2122.24,21,0
2475,A,16,Autovettura,1471.07,23,0
7000,C,0,Elettrodomestici,1234.28,28,1
10000,D,1,Elettrodomestici,1678.26,38,0
7200,D,1,Elettronica,962.86,25,0
7600,C,1,Elettrodomestici,1571.7,25,1
1800,A,12,Elettrodomestici,765.63,29,0
7200,B,1,Autovettura,1707.86,32,0
2600,B,2,Elettrodomestici,908.49,35,0
7000,B,0,Autovettura,1998.91,23,0
12000,B,11,Autovettura,3256.85,32,0
7875,B,15,Autovettura,1271.28,36,0
6000,A,0,Elettrodomestici,553.51,22,0
4000,D,6,Autovettura,1012.29,31,0
6250,A,3,Elettrodomestici,1234.28,23,0
10000,A,0,Elettrodomestici,1041.89,22,0
4000,C,0,Elettrodomestici,2122.24,28,0
17000,B,1,Autovettura,1505.6,26,0
12000,A,1,Elettrodomestici,1382.27,30,1
3500,A,1,Elettrodomestici,1628.93,23,0
18000,E,,Elettronica,1678.26,25,0
16750,C,18,Elettrodomestici,1382.27,23,1
25000,D,3,Autovettura,2781.7,23,1
2000,B,0,Elettrodomestici,504.97,22,0
2100,D,0,Elettrodomestici,257.52,33,1
4000,A,,Elettrodomestici,888.96,25,1
13500,B,0,Autovettura,1099.28,22,0
6500,D,4,Elettrodomestici,790.3,30,1
9250,A,0,Autovettura,1034.39,25,1
11000,A,4,Elettrodomestici,1036.95,22,0
7200,B,1,Elettrodomestici,1086.28,30,0
3200,A,0,Elettrodomestici,198.32,24,1
8000,C,8,Elettrodomestici,1628.93,26,0
1800,B,,Elettrodomestici,257.52,41,0
3600,A,12,Autovettura,2196.23,22,0
5000,B,3,Elettrodomestici,1505.7,22,1
6950,A,11,Autovettura,642.3,22,0
7500,B,2,Autovettura,1900.25,33,1
12000,D,2,Elettrodomestici,568.31,47,1
18000,A,7,Autovettura,2122.24,29,1
5000,B,3,Elettrodomestici,889.95,27,1
10000,C,34,Elettronica,1752.25,30,0
7500,C,7,Elettrodomestici,1258.94,28,0
2000,D,1,Elettrodomestici,666.28,24,1
1000,C,2,Elettrodomestici,75,24,0
8000,B,1,Elettrodomestici,740.87,22,1
7750,E,2,Elettrodomestici,543.64,21,1
6000,A,0,Elettrodomestici,1086.28,30,0
5000,B,1,Autovettura,1175.08,23,0
5000,A,2,Elettrodomestici,1357.09,26,0
10000,C,11,Autovettura,3676.17,33,0
3500,D,2,Autovettura,494.31,25,1
9000,A,9,Elettrodomestici,941.74,21,1
9000,B,1,Elettrodomestici,1160.28,37,1
14000,A,14,Autovettura,2763.54,28,0
10500,B,6,Elettrodomestici,849.49,33,0
11200,C,5,Autovettura,723.21,21,1
12000,D,2,Autovettura,1678.26,26,1
12500,A,3,Autovettura,703.97,25,0
8000,B,3,Elettrodomestici,257.52,22,1
25000,B,12,Autovettura,15096.32,28,1
10000,B,10,Autovettura,691.73,22,0
14000,B,8,Elettrodomestici,765.63,28,1
12000,B,2,Elettrodomestici,1078.88,31,0
5400,D,1,Elettrodomestici,691.64,22,1
5900,A,1,Elettronica,287.12,33,1
1100,C,5,Autovettura,790.3,30,1
2000,B,2,Elettrodomestici,148.99,24,1
12000,A,6,Elettrodomestici,1102.86,23,0
15000,B,4,Elettrodomestici,1974.24,26,0
5000,A,11,Elettronica,2018.64,34,0
10000,C,3,Elettrodomestici,1431.6,24,0
6000,B,1,Autovettura,765.14,25,1
5000,B,8,Autovettura,1875.58,46,0
12000,B,1,Elettronica,1406.94,23,0
3500,B,9,Elettrodomestici,1184.85,24,1
6000,A,8,Autovettura,2171.67,25,1
5600,A,20,Elettrodomestici,1276.01,21,0
5000,D,7,Elettrodomestici,888.96,35,1
13375,A,1,Autovettura,1357.61,22,0
25000,A,18,Elettrodomestici,1525.33,31,0
20000,B,7,Autovettura,2862.2,29,0
15000,A,4,Elettrodomestici,1749.1,29,0
2000,B,26,Autovettura,1200.86,25,1
6000,A,3,Elettrodomestici,868.83,28,0
5400,C,20,Autovettura,2368.89,23,0
9000,C,5,Autovettura,1604.26,28,1
10000,B,5,Elettrodomestici,1382.27,24,1
10000,D,4,Elettrodomestici,740.97,28,0
7000,D,4,Elettrodomestici,1695.52,25,0
9600,B,10,Elettrodomestici,2241.54,24,0
25000,B,2,Autovettura,6068.73,26,1
